Region,Rt_avg_14days,Rt_range_14days_lower,Rt_range_14days_upper,computation_time_range_start,computation_time_range_end
Trento,1.05,0.95,1.18,2022-03-30,2022-04-12
Umbria,1.43,1.11,1.84,2022-03-30,2022-04-12
Valle d'Aosta,1.38,0.62,2.31,2022-03-30,2022-04-12
Veneto,1.02,0.99,1.07,2022-03-30,2022-04-12
Abruzzo,1.00,0.87,1.37,2022-04-06,2022-04-19
Basilicata,0.80,0.55,1.36,2022-04-06,2022-04-19
Bolzano,0.95,0.83,1.09,2022-04-06,2022-04-19
Calabria,1.02,0.80,1.41,2022-04-06,2022-04-19
Campania,0.87,0.67,1.22,2022-04-06,2022-04-19
Emilia R.,0.97,0.90,1.06,2022-04-06,2022-04-19
Friuli V.G.,0.96,0.90,1.04,2022-04-06,2022-04-19
Lazio,0.87,0.78,1.04,2022-04-06,2022-04-19
Liguria,1.09,0.79,1.33,2022-04-06,2022-04-19
Lombardia,0.95,0.90,1.00,2022-04-06,2022-04-19
Marche,0.89,0.74,1.19,2022-04-06,2022-04-19
Molise,1.24,0.48,2.38,2022-04-06,2022-04-19
Piemonte,0.97,0.87,1.09,2022-04-06,2022-04-19
Puglia,0.83,0.78,1.06,2022-04-06,2022-04-19
Sardegna,0.95,0.71,1.11,2022-04-06,2022-04-19
Sicilia,0.79,0.68,1.01,2022-04-06,2022-04-19
Toscana,0.87,0.78,1.02,2022-04-06,2022-04-19
Trento,1.01,0.89,1.11,2022-04-06,2022-04-19
Umbria,1.28,1.06,1.86,2022-04-06,2022-04-19
Valle d'Aosta,1.06,0.48,1.81,2022-04-06,2022-04-19
Veneto,0.97,0.90,1.04,2022-04-06,2022-04-19
Abruzzo,1.05,0.79,1.41,2022-04-13,2022-04-26
Basilicata,1.04,0.59,1.55,2022-04-13,2022-04-26
Bolzano,0.92,0.80,1.05,2022-04-13,2022-04-26
Calabria,0.98,0.80,1.18,2022-04-13,2022-04-26
Campania,1.03,0.83,1.21,2022-04-13,2022-04-26
Emilia R.,0.97,0.88,1.11,2022-04-13,2022-04-26
Friuli V.G.,0.96,0.88,1.09,2022-04-13,2022-04-26
Lazio,0.93,0.82,1.07,2022-04-13,2022-04-26
Liguria,1.02,0.75,1.24,2022-04-13,2022-04-26
Lombardia,0.94,0.87,1.04,2022-04-13,2022-04-26
Marche,1.01,0.77,1.32,2022-04-13,2022-04-26
Molise,1.33,0.48,2.55,2022-04-13,2022-04-26
Piemonte,0.83,0.30,1.04,2022-04-13,2022-04-26
Puglia,0.94,0.77,1.13,2022-04-13,2022-04-26
Sardegna,0.97,0.82,1.14,2022-04-13,2022-04-26
Sicilia,0.95,0.72,1.13,2022-04-13,2022-04-26
Toscana,0.95,0.75,1.10,2022-04-13,2022-04-26
Trento,0.99,0.86,1.17,2022-04-13,2022-04-26
Umbria,1.18,0.94,1.71,2022-04-13,2022-04-26
Valle d'Aosta,0.79,0.51,1.13,2022-04-13,2022-04-26
Veneto,0.96,0.84,1.12,2022-04-13,2022-04-26
Abruzzo,1.13,1.00,1.29,2022-04-20,2022-05-03
Basilicata,1.09,0.72,1.52,2022-04-20,2022-05-03
Bolzano,0.89,0.78,1.07,2022-04-20,2022-05-03
Calabria,1.01,0.87,1.21,2022-04-20,2022-05-03
Campania,1.03,0.82,1.21,2022-04-20,2022-05-03
Emilia R.,0.97,0.89,1.04,2022-04-20,2022-05-03
Friuli V.G.,0.98,0.91,1.03,2022-04-20,2022-05-03
Lazio,0.93,0.78,1.08,2022-04-20,2022-05-03
Liguria,1.01,0.83,1.13,2022-04-20,2022-05-03
Lombardia,0.94,0.89,0.99,2022-04-20,2022-05-03
Marche,1.13,1.00,1.29,2022-04-20,2022-05-03
Molise,1.28,0.49,2.57,2022-04-20,2022-05-03
Piemonte,0.91,0.67,1.07,2022-04-20,2022-05-03
Puglia,0.97,0.84,1.07,2022-04-20,2022-05-03
Sardegna,0.99,0.81,1.24,2022-04-20,2022-05-03
Sicilia,0.96,0.73,1.22,2022-04-20,2022-05-03
Toscana,0.96,0.83,1.04,2022-04-20,2022-05-03
Trento,0.99,0.90,1.10,2022-04-20,2022-05-03
Umbria,0.98,0.79,1.14,2022-04-20,2022-05-03
Valle d'Aosta,0.83,0.42,1.27,2022-04-20,2022-05-03
Veneto,0.99,0.94,1.05,2022-04-20,2022-05-03
Abruzzo,1.03,0.81,1.21,2022-04-27,2022-05-10
Basilicata,0.91,0.60,1.28,2022-04-27,2022-05-10
Bolzano,0.92,0.79,1.23,2022-04-27,2022-05-10
Calabria,0.93,0.78,1.13,2022-04-27,2022-05-10
Campania,0.92,0.83,1.10,2022-04-27,2022-05-10
Emilia R.,0.90,0.81,1.01,2022-04-27,2022-05-10
Friuli V.G.,0.91,0.83,1.00,2022-04-27,2022-05-10
Lazio,0.88,0.78,1.07,2022-04-27,2022-05-10
Liguria,0.93,0.82,1.05,2022-04-27,2022-05-10
Lombardia,0.89,0.83,0.99,2022-04-27,2022-05-10
Marche,0.93,0.57,1.23,2022-04-27,2022-05-10
Molise,1.20,0.49,1.96,2022-04-27,2022-05-10
Piemonte,0.76,0.53,1.03,2022-04-27,2022-05-10
Puglia,0.86,0.80,0.96,2022-04-27,2022-05-10
Sardegna,0.93,0.75,1.16,2022-04-27,2022-05-10
Sicilia,0.79,0.54,1.06,2022-04-27,2022-05-10
Toscana,0.88,0.80,1.02,2022-04-27,2022-05-10
Trento,0.94,0.85,1.11,2022-04-27,2022-05-10
Umbria,0.87,0.76,1.04,2022-04-27,2022-05-10
Valle d'Aosta,0.73,0.46,1.04,2022-04-27,2022-05-10
Veneto,0.93,0.86,1.01,2022-04-27,2022-05-10
Abruzzo,0.88,0.76,1.02,2022-05-04,2022-05-17
Basilicata,0.91,0.63,1.23,2022-05-04,2022-05-17
Calabria,0.81,0.65,0.98,2022-05-04,2022-05-17
Campania,0.90,0.82,0.97,2022-05-04,2022-05-17
Emilia R.,0.85,0.80,0.89,2022-05-04,2022-05-17
Friuli V.G.,0.86,0.80,0.90,2022-05-04,2022-05-17
Lazio,0.92,0.78,1.09,2022-05-04,2022-05-17
Liguria,0.89,0.85,0.96,2022-05-04,2022-05-17
Lombardia,0.87,0.83,0.89,2022-05-04,2022-05-17
Marche,0.78,0.56,0.96,2022-05-04,2022-05-17
Molise,0.93,0.18,1.76,2022-05-04,2022-05-17
Bolzano,0.85,0.32,1.09,2022-05-04,2022-05-17
Trento,0.90,0.81,0.98,2022-05-04,2022-05-17
Piemonte,0.78,0.53,1.02,2022-05-04,2022-05-17
Puglia,0.81,0.77,0.89,2022-05-04,2022-05-17
Sardegna,0.89,0.73,1.24,2022-05-04,2022-05-17
Sicilia,0.84,0.78,0.93,2022-05-04,2022-05-17
Toscana,0.88,0.80,1.02,2022-05-04,2022-05-17
Umbria,0.83,0.69,1.02,2022-05-04,2022-05-17
Valle d'Aosta,0.87,0.59,1.33,2022-05-04,2022-05-17
Veneto,0.86,0.84,0.90,2022-05-04,2022-05-17
Abruzzo,0.77,0.62,0.96,2022-05-10,2022-05-23
Basilicata,0.95,0.67,1.51,2022-05-10,2022-05-23
Calabria,0.83,0.61,1.32,2022-05-10,2022-05-23
Campania,0.84,0.72,0.97,2022-05-10,2022-05-23
Emilia R.,0.79,0.71,0.88,2022-05-10,2022-05-23
Friuli V.G.,0.79,0.69,0.89,2022-05-10,2022-05-23
Lazio,0.94,0.85,1.03,2022-05-10,2022-05-23
Liguria,0.83,0.72,0.95,2022-05-10,2022-05-23
Lombardia,0.81,0.72,0.89,2022-05-10,2022-05-23
Marche,0.70,0.45,0.95,2022-05-10,2022-05-23
Molise,1.13,0.42,2.00,2022-05-10,2022-05-23
Bolzano,1.01,0.85,1.15,2022-05-10,2022-05-23
Trento,0.82,0.65,0.98,2022-05-10,2022-05-23
Piemonte,0.83,0.68,0.98,2022-05-10,2022-05-23
Puglia,0.77,0.71,0.85,2022-05-10,2022-05-23
Sardegna,0.95,0.79,1.16,2022-05-10,2022-05-23
Sicilia,0.90,0.81,0.99,2022-05-10,2022-05-23
Toscana,0.87,0.82,0.93,2022-05-10,2022-05-23
Umbria,0.83,0.67,1.00,2022-05-10,2022-05-23
Valle d'Aosta,0.83,0.52,1.13,2022-05-10,2022-05-23
Veneto,0.78,0.67,0.89,2022-05-10,2022-05-23
Abruzzo,0.70,0.60,0.96,2022-05-18,2022-05-31
Basilicata,0.91,0.34,1.57,2022-05-18,2022-05-31
Calabria,0.93,0.67,1.17,2022-05-18,2022-05-31
Campania,0.82,0.71,1.01,2022-05-18,2022-05-31
Emilia R.,0.73,0.69,0.82,2022-05-18,2022-05-31
Friuli V.G.,0.70,0.63,0.83,2022-05-18,2022-05-31
Lazio,0.88,0.80,0.99,2022-05-18,2022-05-31
Liguria,0.76,0.70,0.88,2022-05-18,2022-05-31
Lombardia,0.71,0.65,0.78,2022-05-18,2022-05-31
Marche,0.57,0.44,0.93,2022-05-18,2022-05-31
Molise,0.92,0.28,1.94,2022-05-18,2022-05-31
Bolzano,0.87,0.64,1.16,2022-05-18,2022-05-31
Trento,0.74,0.65,0.90,2022-05-18,2022-05-31
Piemonte,0.70,0.51,0.89,2022-05-18,2022-05-31
Puglia,0.73,0.69,0.82,2022-05-18,2022-05-31
Sardegna,0.82,0.59,1.15,2022-05-18,2022-05-31
Sicilia,0.87,0.79,0.96,2022-05-18,2022-05-31
Toscana,0.82,0.78,0.88,2022-05-18,2022-05-31
Umbria,0.80,0.64,0.99,2022-05-18,2022-05-31
Valle d'Aosta,0.63,0.33,1.16,2022-05-18,2022-05-31
Veneto,0.70,0.66,0.84,2022-05-18,2022-05-31
Abruzzo,0.84,0.60,1.34,2022-05-25,2022-06-07
Basilicata,0.78,0.32,1.59,2022-05-25,2022-06-07
Calabria,0.92,0.71,1.18,2022-05-25,2022-06-07
Campania,0.86,0.75,0.99,2022-05-25,2022-06-07
Emilia R.,0.82,0.67,1.32,2022-05-25,2022-06-07
Friuli V.G.,0.84,0.62,1.37,2022-05-25,2022-06-07
Lazio,0.90,0.76,1.25,2022-05-25,2022-06-07
Liguria,0.81,0.66,1.17,2022-05-25,2022-06-07
Lombardia,0.81,0.66,1.25,2022-05-25,2022-06-07
Marche,0.85,0.47,1.41,2022-05-25,2022-06-07
Molise,0.68,0.12,1.93,2022-05-25,2022-06-07
Bolzano,0.88,0.77,1.20,2022-05-25,2022-06-07
Trento,0.81,0.66,1.19,2022-05-25,2022-06-07
Piemonte,0.76,0.50,1.37,2022-05-25,2022-06-07
Puglia,0.77,0.63,1.12,2022-05-25,2022-06-07
Sardegna,0.79,0.58,1.22,2022-05-25,2022-06-07
Sicilia,0.89,0.80,1.11,2022-05-25,2022-06-07
Toscana,0.80,0.64,1.11,2022-05-25,2022-06-07
Umbria,0.78,0.56,1.38,2022-05-25,2022-06-07
Valle d'Aosta,0.55,0.32,1.36,2022-05-25,2022-06-07
Veneto,0.85,0.66,1.33,2022-05-25,2022-06-07
Abruzzo,1.15,0.75,1.46,2022-06-01,2022-06-14
Basilicata,0.92,0.34,1.75,2022-06-01,2022-06-14
Calabria,0.92,0.70,1.13,2022-06-01,2022-06-14
Campania,1.01,0.79,1.62,2022-06-01,2022-06-14
Emilia R.,1.13,0.70,1.68,2022-06-01,2022-06-14
Friuli V.G.,1.20,0.74,1.74,2022-06-01,2022-06-14
Lazio,1.07,0.77,1.40,2022-06-01,2022-06-14
Liguria,0.98,0.66,1.32,2022-06-01,2022-06-14
Lombardia,1.10,0.72,1.56,2022-06-01,2022-06-14
Marche,1.09,0.74,1.64,2022-06-01,2022-06-14
Molise,0.67,0.12,1.97,2022-06-01,2022-06-14
Bolzano,0.98,0.72,1.37,2022-06-01,2022-06-14
Trento,1.04,0.68,1.62,2022-06-01,2022-06-14
Piemonte,1.11,0.55,1.83,2022-06-01,2022-06-14
Puglia,1.00,0.63,1.52,2022-06-01,2022-06-14
Sardegna,1.02,0.67,1.48,2022-06-01,2022-06-14
Sicilia,1.05,0.82,1.24,2022-06-01,2022-06-14
Toscana,0.98,0.64,1.35,2022-06-01,2022-06-14
Umbria,1.02,0.56,1.57,2022-06-01,2022-06-14
Valle d'Aosta,0.90,0.46,1.40,2022-06-01,2022-06-14
Veneto,1.15,0.75,1.59,2022-06-01,2022-06-14
Abruzzo,1.24,1.04,1.50,2022-06-07,2022-06-20
Basilicata,1.39,0.63,2.72,2022-06-07,2022-06-20
Calabria,0.99,0.79,1.32,2022-06-07,2022-06-20
Campania,1.30,0.84,1.63,2022-06-07,2022-06-20
Emilia R.,1.37,1.12,1.53,2022-06-07,2022-06-20
Friuli V.G.,1.47,1.14,1.73,2022-06-07,2022-06-20
Lazio,1.21,1.03,1.38,2022-06-07,2022-06-20
Liguria,1.24,0.97,1.76,2022-06-07,2022-06-20
Lombardia,1.37,1.08,1.62,2022-06-07,2022-06-20
Marche,1.42,0.72,2.18,2022-06-07,2022-06-20
Molise,0.96,0.14,2.09,2022-06-07,2022-06-20
Bolzano,1.17,1.00,1.51,2022-06-07,2022-06-20
Trento,1.32,0.92,1.75,2022-06-07,2022-06-20
Piemonte,1.41,0.95,1.77,2022-06-07,2022-06-20
Puglia,1.28,0.91,1.68,2022-06-07,2022-06-20
Sardegna,1.27,0.97,1.78,2022-06-07,2022-06-20
Sicilia,1.14,1.06,1.22,2022-06-07,2022-06-20
Toscana,1.19,0.93,1.47,2022-06-07,2022-06-20
Umbria,1.29,0.94,1.77,2022-06-07,2022-06-20
Valle d'Aosta,1.02,0.56,1.56,2022-06-07,2022-06-20
Veneto,1.40,1.16,1.68,2022-06-07,2022-06-20
Abruzzo,1.31,1.12,1.73,2022-06-15,2022-06-28
Basilicata,1.68,0.90,2.43,2022-06-15,2022-06-28
Calabria,1.19,0.76,1.93,2022-06-15,2022-06-28
Campania,1.48,1.39,1.61,2022-06-15,2022-06-28
Emilia R.,1.41,1.29,1.57,2022-06-15,2022-06-28
Friuli V.G.,1.47,1.25,1.65,2022-06-15,2022-06-28
Lazio,1.24,1.12,1.41,2022-06-15,2022-06-28
Liguria,1.49,1.21,1.64,2022-06-15,2022-06-28
Lombardia,1.47,1.42,1.54,2022-06-15,2022-06-28
Marche,1.71,1.33,2.12,2022-06-15,2022-06-28
Molise,1.34,0.56,2.50,2022-06-15,2022-06-28
Bolzano,1.21,1.10,1.40,2022-06-15,2022-06-28
Trento,1.52,1.35,1.68,2022-06-15,2022-06-28
Piemonte,1.48,1.16,1.93,2022-06-15,2022-06-28
Puglia,1.49,1.28,1.74,2022-06-15,2022-06-28
Sardegna,1.51,1.29,1.66,2022-06-15,2022-06-28
Sicilia,1.18,1.09,1.28,2022-06-15,2022-06-28
Toscana,1.33,1.14,1.56,2022-06-15,2022-06-28
Umbria,1.46,1.13,1.79,2022-06-15,2022-06-28
Valle d'Aosta,0.94,0.65,1.47,2022-06-15,2022-06-28
Veneto,1.44,1.33,1.55,2022-06-15,2022-06-28
Abruzzo,1.35,1.07,1.80,2022-06-22,2022-07-05
Basilicata,1.57,1.17,2.26,2022-06-22,2022-07-05
Calabria,1.54,1.05,1.92,2022-06-22,2022-07-05
Campania,1.49,1.33,1.65,2022-06-22,2022-07-05
Emilia R.,1.36,1.30,1.43,2022-06-22,2022-07-05
Friuli V.G.,1.17,0.89,1.50,2022-06-22,2022-07-05
Lazio,1.21,1.09,1.34,2022-06-22,2022-07-05
Liguria,1.47,1.38,1.59,2022-06-22,2022-07-05
Lombardia,1.32,1.21,1.47,2022-06-22,2022-07-05
Marche,1.36,0.95,1.77,2022-06-22,2022-07-05
Molise,1.21,0.38,2.49,2022-06-22,2022-07-05
Bolzano,1.21,1.10,1.40,2022-06-22,2022-07-05
Trento,1.47,1.34,1.62,2022-06-22,2022-07-05
Piemonte,1.35,1.15,1.53,2022-06-22,2022-07-05
Puglia,1.55,1.45,1.74,2022-06-22,2022-07-05
Sardegna,1.32,0.96,1.62,2022-06-22,2022-07-05
Sicilia,1.21,1.15,1.27,2022-06-22,2022-07-05
Toscana,1.35,1.27,1.43,2022-06-22,2022-07-05
Umbria,1.44,1.28,1.62,2022-06-22,2022-07-05
Valle d'Aosta,1.11,0.73,1.74,2022-06-22,2022-07-05
Veneto,1.30,1.23,1.45,2022-06-22,2022-07-05
Abruzzo,1.51,1.16,1.74,2022-06-29,2022-07-12
Basilicata,1.39,1.04,1.80,2022-06-29,2022-07-12
Calabria,1.59,1.31,1.86,2022-06-29,2022-07-12
Campania,1.40,1.07,1.60,2022-06-29,2022-07-12
Emilia R.,1.26,1.15,1.39,2022-06-29,2022-07-12
Friuli V.G.,0.98,0.88,1.13,2022-06-29,2022-07-12
Lazio,1.20,1.10,1.31,2022-06-29,2022-07-12
Liguria,1.35,1.25,1.47,2022-06-29,2022-07-12
Lombardia,1.17,1.10,1.30,2022-06-29,2022-07-12
Marche,1.28,0.94,1.56,2022-06-29,2022-07-12
Molise,1.08,0.37,1.92,2022-06-29,2022-07-12
Bolzano,1.21,1.10,1.36,2022-06-29,2022-07-12
Trento,1.36,1.21,1.49,2022-06-29,2022-07-12
Piemonte,1.22,0.99,1.54,2022-06-29,2022-07-12
Puglia,1.45,1.22,1.60,2022-06-29,2022-07-12
Sardegna,1.15,0.89,1.46,2022-06-29,2022-07-12
Sicilia,1.14,0.81,1.28,2022-06-29,2022-07-12
Toscana,1.22,1.11,1.39,2022-06-29,2022-07-12
Umbria,1.24,0.98,1.61,2022-06-29,2022-07-12
Valle d'Aosta,1.28,0.82,1.63,2022-06-29,2022-07-12
Veneto,1.17,1.10,1.26,2022-06-29,2022-07-12
Abruzzo,1.48,1.16,1.97,2022-07-06,2022-07-19
Basilicata,1.30,1.03,1.60,2022-07-06,2022-07-19
Calabria,1.35,1.08,1.68,2022-07-06,2022-07-19
Campania,1.02,0.70,1.46,2022-07-06,2022-07-19
Emilia R.,1.09,0.95,1.26,2022-07-06,2022-07-19
Friuli V.G.,0.98,0.89,1.06,2022-07-06,2022-07-19
Lazio,1.11,0.99,1.30,2022-07-06,2022-07-19
Liguria,1.19,1.04,1.34,2022-07-06,2022-07-19
Lombardia,1.04,0.94,1.14,2022-07-06,2022-07-19
Marche,1.29,1.09,1.55,2022-07-06,2022-07-19
Molise,0.96,0.29,1.92,2022-07-06,2022-07-19
Bolzano,1.17,1.11,1.26,2022-07-06,2022-07-19
Trento,1.24,1.10,1.37,2022-07-06,2022-07-19
Piemonte,1.06,0.93,1.21,2022-07-06,2022-07-19
Puglia,1.14,0.93,1.52,2022-07-06,2022-07-19
Sardegna,1.13,0.95,1.35,2022-07-06,2022-07-19
Sicilia,0.87,0.57,1.29,2022-07-06,2022-07-19
Toscana,1.04,0.93,1.19,2022-07-06,2022-07-19
Umbria,1.04,0.91,1.21,2022-07-06,2022-07-19
Valle d'Aosta,1.31,1.04,1.60,2022-07-06,2022-07-19
Veneto,1.05,0.98,1.16,2022-07-06,2022-07-19
Abruzzo,1.15,1.03,1.36,2022-07-13,2022-07-26
Basilicata,1.12,0.69,1.52,2022-07-13,2022-07-26
Calabria,1.06,0.80,1.41,2022-07-13,2022-07-26
Campania,0.74,0.65,0.94,2022-07-13,2022-07-26
Emilia R.,0.91,0.80,1.08,2022-07-13,2022-07-26
Friuli V.G.,0.94,0.86,1.08,2022-07-13,2022-07-26
Lazio,0.97,0.86,1.08,2022-07-13,2022-07-26
Liguria,0.99,0.87,1.19,2022-07-13,2022-07-26
Lombardia,0.88,0.76,1.05,2022-07-13,2022-07-26
Marche,1.08,0.92,1.27,2022-07-13,2022-07-26
Molise,1.21,0.48,2.29,2022-07-13,2022-07-26
Bolzano,1.02,0.80,1.21,2022-07-13,2022-07-26
Trento,1.03,0.81,1.29,2022-07-13,2022-07-26
Piemonte,0.91,0.64,1.15,2022-07-13,2022-07-26
Puglia,0.87,0.75,1.07,2022-07-13,2022-07-26
Sardegna,0.95,0.76,1.36,2022-07-13,2022-07-26
Sicilia,0.65,0.49,0.95,2022-07-13,2022-07-26
Toscana,0.90,0.79,1.04,2022-07-13,2022-07-26
Umbria,0.95,0.84,1.06,2022-07-13,2022-07-26
Valle d'Aosta,1.09,0.68,1.46,2022-07-13,2022-07-26
Veneto,0.97,0.92,1.03,2022-07-13,2022-07-26
Abruzzo,1.10,0.85,1.36,2022-07-20,2022-08-02
Basilicata,0.84,0.53,1.28,2022-07-20,2022-08-02
Calabria,0.83,0.72,1.01,2022-07-20,2022-08-02
Campania,0.72,0.64,0.82,2022-07-20,2022-08-02
Emilia R.,0.77,0.70,0.86,2022-07-20,2022-08-02
Friuli V.G.,0.85,0.78,0.93,2022-07-20,2022-08-02
Lazio,0.88,0.82,0.94,2022-07-20,2022-08-02
Liguria,0.86,0.81,0.95,2022-07-20,2022-08-02
Lombardia,0.75,0.69,0.83,2022-07-20,2022-08-02
Marche,1.01,0.88,1.12,2022-07-20,2022-08-02
Molise,1.17,0.47,2.28,2022-07-20,2022-08-02
Bolzano,0.79,0.65,1.06,2022-07-20,2022-08-02
Trento,0.82,0.71,1.01,2022-07-20,2022-08-02
Piemonte,0.70,0.50,0.97,2022-07-20,2022-08-02
Puglia,0.75,0.71,0.82,2022-07-20,2022-08-02
Sardegna,0.79,0.66,0.87,2022-07-20,2022-08-02
Sicilia,0.62,0.52,0.89,2022-07-20,2022-08-02
Toscana,0.84,0.79,0.89,2022-07-20,2022-08-02
Umbria,0.85,0.70,1.05,2022-07-20,2022-08-02
Valle d'Aosta,0.79,0.52,1.24,2022-07-20,2022-08-02
Veneto,0.92,0.88,0.94,2022-07-20,2022-08-02
Abruzzo,0.91,0.82,0.99,2022-07-27,2022-08-09
Basilicata,0.68,0.35,0.96,2022-07-27,2022-08-09
Calabria,0.80,0.67,1.08,2022-07-27,2022-08-09
Campania,0.71,0.64,0.78,2022-07-27,2022-08-09
Emilia R.,0.71,0.67,0.77,2022-07-27,2022-08-09
Friuli V.G.,0.80,0.74,0.88,2022-07-27,2022-08-09
Lazio,0.87,0.81,0.93,2022-07-27,2022-08-09
Liguria,0.82,0.78,0.85,2022-07-27,2022-08-09
Lombardia,0.69,0.64,0.75,2022-07-27,2022-08-09
Marche,0.84,0.56,1.11,2022-07-27,2022-08-09
Molise,1.01,0.36,2.25,2022-07-27,2022-08-09
Bolzano,0.71,0.64,0.86,2022-07-27,2022-08-09
Trento,0.79,0.70,0.97,2022-07-27,2022-08-09
Piemonte,0.65,0.49,0.83,2022-07-27,2022-08-09
Puglia,0.71,0.66,0.75,2022-07-27,2022-08-09
Sardegna,0.82,0.62,1.07,2022-07-27,2022-08-09
Sicilia,0.72,0.66,0.79,2022-07-27,2022-08-09
Toscana,0.77,0.67,0.89,2022-07-27,2022-08-09
Umbria,0.81,0.67,0.98,2022-07-27,2022-08-09
Valle d'Aosta,0.62,0.44,0.85,2022-07-27,2022-08-09
Veneto,0.85,0.78,0.92,2022-07-27,2022-08-09
Abruzzo,0.81,0.69,1.00,2022-08-02,2022-08-15
Basilicata,0.73,0.37,1.61,2022-08-02,2022-08-15
Calabria,0.91,0.68,1.28,2022-08-02,2022-08-15
Campania,0.69,0.63,0.85,2022-08-02,2022-08-15
Emilia R.,0.67,0.60,0.75,2022-08-02,2022-08-15
Friuli V.G.,0.78,0.72,0.91,2022-08-02,2022-08-15
Lazio,1.02,0.79,1.41,2022-08-02,2022-08-15
Liguria,0.77,0.63,0.85,2022-08-02,2022-08-15
Lombardia,0.66,0.62,0.72,2022-08-02,2022-08-15
Marche,0.68,0.56,0.87,2022-08-02,2022-08-15
Molise,0.86,0.39,1.52,2022-08-02,2022-08-15
Bolzano,0.71,0.58,0.77,2022-08-02,2022-08-15
Trento,0.81,0.74,0.89,2022-08-02,2022-08-15
Piemonte,0.65,0.47,0.95,2022-08-02,2022-08-15
Puglia,0.66,0.60,0.71,2022-08-02,2022-08-15
Sardegna,0.81,0.61,1.01,2022-08-02,2022-08-15
Sicilia,0.72,0.66,0.83,2022-08-02,2022-08-15
Toscana,0.70,0.60,0.77,2022-08-02,2022-08-15
Umbria,0.76,0.58,0.93,2022-08-02,2022-08-15
Valle d'Aosta,0.58,0.35,1.04,2022-08-02,2022-08-15
Veneto,0.78,0.72,0.84,2022-08-02,2022-08-15
Abruzzo,0.85,0.61,1.37,2022-08-10,2022-08-23
Basilicata,1.10,0.45,1.99,2022-08-10,2022-08-23
Calabria,1.20,0.90,1.59,2022-08-10,2022-08-23
Campania,0.84,0.61,1.17,2022-08-10,2022-08-23
Emilia R.,0.75,0.57,1.06,2022-08-10,2022-08-23
Friuli V.G.,0.91,0.72,1.08,2022-08-10,2022-08-23
Lazio,0.97,0.56,1.37,2022-08-10,2022-08-23
Liguria,0.66,0.54,0.78,2022-08-10,2022-08-23
Lombardia,0.80,0.62,1.19,2022-08-10,2022-08-23
Marche,0.88,0.57,1.50,2022-08-10,2022-08-23
Molise,1.31,0.60,2.63,2022-08-10,2022-08-23
Bolzano,0.75,0.53,1.06,2022-08-10,2022-08-23
Trento,0.87,0.72,1.14,2022-08-10,2022-08-23
Piemonte,0.79,0.47,1.30,2022-08-10,2022-08-23
Puglia,0.75,0.57,1.13,2022-08-10,2022-08-23
Sardegna,0.82,0.56,1.18,2022-08-10,2022-08-23
Sicilia,0.80,0.66,0.99,2022-08-10,2022-08-23
Toscana,0.82,0.57,1.23,2022-08-10,2022-08-23
Umbria,0.75,0.54,1.18,2022-08-10,2022-08-23
Valle d'Aosta,0.71,0.30,1.51,2022-08-10,2022-08-23
Veneto,0.83,0.72,1.06,2022-08-10,2022-08-23
Abruzzo,0.95,0.64,1.19,2022-08-17,2022-08-30
Basilicata,1.29,0.82,1.94,2022-08-17,2022-08-30
Calabria,1.22,1.02,1.52,2022-08-17,2022-08-30
Campania,0.98,0.80,1.18,2022-08-17,2022-08-30
Emilia R.,0.92,0.71,1.14,2022-08-17,2022-08-30
Friuli V.G.,0.95,0.85,1.07,2022-08-17,2022-08-30
Lazio,0.82,0.61,1.05,2022-08-17,2022-08-30
Liguria,0.77,0.53,1.24,2022-08-17,2022-08-30
Lombardia,0.98,0.72,1.09,2022-08-17,2022-08-30
Marche,1.05,0.76,1.31,2022-08-17,2022-08-30
Molise,1.20,0.33,2.65,2022-08-17,2022-08-30
Bolzano,0.83,0.66,1.08,2022-08-17,2022-08-30
Trento,0.98,0.79,1.19,2022-08-17,2022-08-30
Piemonte,1.03,0.65,1.59,2022-08-17,2022-08-30
Puglia,0.89,0.67,1.03,2022-08-17,2022-08-30
Sardegna,0.90,0.67,1.11,2022-08-17,2022-08-30
Sicilia,0.87,0.78,1.00,2022-08-17,2022-08-30
Toscana,0.98,0.71,1.16,2022-08-17,2022-08-30
Umbria,0.89,0.60,1.25,2022-08-17,2022-08-30
Valle d'Aosta,1.02,0.48,1.64,2022-08-17,2022-08-30
Veneto,0.92,0.80,1.04,2022-08-17,2022-08-30
