,data,nuovi_positivi,nuovi_positivi_Tikhonov,Rt,Rt_interv_cred_min,Rt_interv_cred_max
130,2020-07-03 23:59:00,223,186.9732325072746,0.8684250520485824,0.7479580666427207,0.9949892355049915
131,2020-07-04 23:59:00,235,191.06457073972274,0.9091428726761556,0.788180539375419,1.0427516658227445
132,2020-07-05 23:59:00,192,195.22478357447451,0.9469585029938675,0.8161128941447859,1.0762032548823781
133,2020-07-06 23:59:00,208,198.8804706685128,0.9814496586150019,0.8473192518952978,1.1153797636217229
134,2020-07-07 23:59:00,138,201.77815221584993,1.0058617165533885,0.8659122630744245,1.1460543363079458
135,2020-07-08 23:59:00,193,203.73889319339887,1.022673062749908,0.8835197048865477,1.1634186364680241
136,2020-07-09 23:59:00,229,204.3217426137349,1.0250142233938744,0.8890732227506277,1.1685349618148777
137,2020-07-10 23:59:00,276,203.13495618813832,1.021342292496073,0.8831807142984339,1.1603251576932418
138,2020-07-11 23:59:00,188,200.25464860883778,1.0046107011237384,0.8650993795023985,1.141837630098817
139,2020-07-12 23:59:00,234,196.54658166046391,0.9902054094493059,0.8545993428287978,1.1265551892868884
140,2020-07-13 23:59:00,169,193.2593673590965,0.9725050040066994,0.8399361099620267,1.1196529436693996
141,2020-07-14 23:59:00,114,191.7401902697292,0.9705240744388063,0.8360813415362093,1.1044753772263034
142,2020-07-15 23:59:00,163,192.77601267117677,0.981143314986924,0.8501079747841199,1.1208451670947657
143,2020-07-16 23:59:00,230,196.1773305107464,1.0006190926131502,0.8540813154113339,1.1387050734894844
144,2020-07-17 23:59:00,233,201.1393940861146,1.0294950547367194,0.8926372808100526,1.1742278495046763
145,2020-07-18 23:59:00,249,206.9111442751631,1.0597722395018108,0.9145331388301775,1.2011037997510172
146,2020-07-19 23:59:00,219,213.12593033483142,1.0875852765830059,0.9364642283041982,1.2305196158799774
147,2020-07-20 23:59:00,190,219.8336394499138,1.115786370658242,0.9752433744826932,1.2695089998588238
148,2020-07-21 23:59:00,129,227.11192500401805,1.137001972932147,0.9892317233331946,1.2828519901119575
149,2020-07-22 23:59:00,282,234.6286774544937,1.1610604111801839,1.0144762116209658,1.3136074698615214
150,2020-07-23 23:59:00,306,241.50285784133354,1.1746176586540602,1.0267006607180555,1.3158779472350524
151,2020-07-24 23:59:00,252,247.15644033931457,1.1754704380375633,1.0299655301840076,1.3156367101071613
152,2020-07-25 23:59:00,275,251.71264876469814,1.1736493253812654,1.0324809018576122,1.3176717618626728
153,2020-07-26 23:59:00,255,255.7492131759964,1.166236819721718,1.0253139255773256,1.3123014291643293
154,2020-07-27 23:59:00,170,260.0031748199859,1.1584742694218615,1.0212906679244649,1.2976608488291483
155,2020-07-28 23:59:00,212,264.85284622442197,1.1549222873273381,1.018575877127873,1.2890026225119702
156,2020-07-29 23:59:00,289,269.81727724430266,1.1532148637065027,1.0173836648140593,1.2912046014103549
157,2020-07-30 23:59:00,386,273.97568202368717,1.1463344709453729,1.0118004722075047,1.2824331976486674
158,2020-07-31 23:59:00,379,277.01548123993285,1.1360708408941014,1.0067473181602917,1.2731273133932537
159,2020-08-01 23:59:00,295,280.0984479777005,1.1266158052153266,1.0015361216114005,1.2613248230587915
160,2020-08-02 23:59:00,239,285.6466555124387,1.1309500988916619,1.0010377812088986,1.2574187877688856
161,2020-08-03 23:59:00,159,296.10855785489895,1.150391238398083,1.0203003100419012,1.2792137288224414
162,2020-08-04 23:59:00,190,312.57606251735655,1.1943101098656834,1.0644877625254705,1.3232276955283775
163,2020-08-05 23:59:00,384,333.87806716089995,1.2452215215851077,1.1159493978728223,1.3806931527481308
164,2020-08-06 23:59:00,402,357.04507655734085,1.2942773954745401,1.160730138787249,1.4314126608713311
165,2020-08-07 23:59:00,552,378.99958818589243,1.3290975298374714,1.1977884235320841,1.4628989883247296
166,2020-08-08 23:59:00,347,397.74526591368425,1.3419726193610877,1.207657172212748,1.4709799199286528
167,2020-08-09 23:59:00,463,413.11653767733026,1.3348834663721802,1.2104340049654352,1.4635477288885572
168,2020-08-10 23:59:00,259,425.7982179107317,1.3191943452422508,1.1913999643742184,1.4448572748433854
169,2020-08-11 23:59:00,412,436.8525727312109,1.2963508006653068,1.173445309377225,1.4178724078836784
170,2020-08-12 23:59:00,481,446.7475391984774,1.2728721714202558,1.1559154161821181,1.3918520919788908
171,2020-08-13 23:59:00,523,456.0529412747832,1.249271038143182,1.1370866044914654,1.3636263446436787
172,2020-08-14 23:59:00,574,466.38522109348145,1.2325091675851405,1.1220641831914475,1.3441069231943588
173,2020-08-15 23:59:00,629,481.05965910273903,1.228663415680231,1.1148000883655582,1.3371606149633686
174,2020-08-16 23:59:00,479,505.08311454685537,1.2499594770285094,1.13903272819397,1.3577910603640593
